"NBa7we src","d4r55","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a/ACg8ocL8UoWxT-k1kMq8e8tydj6JslYczC2ea6pX93-9KGCOuWDldw=w36-h36-p-rp-mo-br100","Cheryl Salo","a month ago","Chris was very reliable ..quick response when I called.  Very courteous and we would use his services again.
He got rid of a large grill from our backyard
Thanks Chris"
"https://lh3.googleusercontent.com/a-/ALV-UjUby_ExT0n6uiox_wqJVRMFS7l7KBeUrpgCMTuMQxNF1mUdqZyJzg=w36-h36-p-rp-mo-br100","Leeann Garner","4 months ago","I highly recommend Southwest Hauling & Junk Removal LLC! Chris, the owner, was quick to respond and very professional from the start. He arrived right on time and handled the removal quickly and efficiently. Everything was hauled away …"
"https://lh3.googleusercontent.com/a-/ALV-UjUBxsPpWoQYNGvPOEsm4F2H-2QG1F9mmAS1lytDoSjEnlmj1d8Y=w36-h36-p-rp-mo-ba12-br100","J P","4 months ago","Amazing company, even better guy, very responsive was at my house in 20min.  very honest and stand up. Highly recommended."
"https://lh3.googleusercontent.com/a/ACg8ocJrqsywSKBRRooFTIDtcBt_pjkf2VDmTN2jz8eVveonmDn0Yg=w36-h36-p-rp-mo-br100","Geoff Mata","4 months ago","I had an excellent experience with Southwest Hauling & Junk Removal! The team was professional, punctual, and worked quickly to get everything loaded up and hauled away. They made the whole process super easy and stress-free. …"
"https://lh3.googleusercontent.com/a/ACg8ocK86xe7SPdM_AzgINzapp0YvCW2WDEBpBLC5SpjshlA0RAMaz8=w36-h36-p-rp-mo-ba12-br100","Operations Manager","3 months ago","Chris was an absolute lifesaver this weekend. Sent a quick text on Saturday, and he showed up ready to help, no questions asked.
His responsiveness, work ethic, and willingness to jump in on short notice made …"
"https://lh3.googleusercontent.com/a-/ALV-UjUUr3DlYVqbXuOm5y6mUqAiCUAE4jkgleDBaNusFSMUeybcidM=w36-h36-p-rp-mo-br100","Robin Morrison","2 weeks ago","I contacted Chris with Southwest Hauling & Junk Removal to get rid of some large old wooden gardening planters and bagged yard debris I had. He was courteous, professional and communicative. He was able to work around my schedule and was …"
"https://lh3.googleusercontent.com/a-/ALV-UjUmMkCPnXThrnqXkE5CfxmYC4egOpyhS5o7y3a32tr0C86vrQY_=w36-h36-p-rp-mo-br100","Yulonda Jones","2 months ago","I needed help clearing out post-move boxes and leftover trash, so I reached out to Chris at Southwest Hauling & Junk Removal—and I’m really glad I did. From the start, communication was quick, professional, and straightforward. Chris was …"
"https://lh3.googleusercontent.com/a/ACg8ocLjSkwZY_xAR7nb8qLVfv-2N3cOW-YVXH2QdQu3Ub7rk7WDblk=w36-h36-p-rp-mo-br100","Christina McInerney","2 weeks ago","Chris did a great job removing all of our junk  including large items like our hot tub. He provided a competitive quote and was very responsive. Highly recommend Southwest Hauling!"
"https://lh3.googleusercontent.com/a-/ALV-UjVmJkq2M1HejOryPYoyfJ3f2nuXkivpe9mOw-Ceo3O_NAcUtB0=w36-h36-p-rp-mo-br100","kimberley baptista","a week ago","Excellent service! Definitely recommend if you’re looking for help with hauling away items. Great communication and reasonable prices."
"https://lh3.googleusercontent.com/a-/ALV-UjWRxCbvg_SJa97-_X3E3eeoVmDyzme5iYkBZ62efLG8iN_R64Y=w36-h36-p-rp-mo-br100","Jackie Shappell","4 months ago","Highly recommend southwest hauling and junk removal! Came out same day to give a quote on a pretty big back yard clean up job and was able to get it done the next day! Can't believe how great the yard looks and how quickly they got it done. …"
